model,origin,web_acc,web_aopcr,web_ndcg,web_loss,ucr85_acc,ucr85_acc_wtl,params,size_mb,flops_m,infer_ms
sea_gated-me…ea_topk_conj,ours,0.954,2.2926,0.7721,0.2546,0.8083,19/13/53,61740,1.502,54.064,2.109
sea_mstcn__mil_conj,half-ours,0.954,1.5019,0.6983,0.2623,0.8238,23/20/42,269083,3.539,259.08,1.139
sea_gated-ma…ea_topk_conj,ours,0.952,2.2684,0.7185,0.3076,0.8108,22/16/47,61740,1.502,54.064,2.5722
sea_spiketre…ea_topk_conj,ours,0.95,2.316,0.756,0.2877,,,67020,1.525,59.232,1.0875
sea_mstcn-cl…sea_cls_conj,ours,0.946,1.7219,0.686,0.2917,0.8292,27/19/39,269164,3.539,259.112,0.7593
sea_recon__sea_adapt_cls,ours,0.946,2.601,0.7679,0.2962,0.814,19/18/48,62935,1.51,59.288,0.3831
sea_inputgat…ea_topk_conj,ours,0.946,2.8031,0.7482,0.2605,0.8131,23/16/46,58092,1.489,54.504,2.0415
sea_gated-ma…sea_cls_conj,ours,0.944,1.8892,0.5924,0.3063,0.8237,20/17/48,61740,1.502,54.064,1.516
sea_gated-la…sea_cls_conj,ours,0.942,2.5202,0.7417,0.3272,0.7888,17/12/56,61740,1.502,54.064,1.0016
sea_mstcn__mil_add,half-ours,0.942,1.5791,0.7291,0.2597,0.8298,24/19/42,269083,3.539,259.08,0.7124
